seed,best_agent_score_ever,final_generation_best_score,final_generation_mean_score,generation_where_best_occurred,agents_exceeding_5000,agents_exceeding_7000,agents_exceeding_8000,agents_exceeding_9000
1,6358.738114141859,5418.738898945041,3571.353441493573,488,892,0,0,0
2,6579.576181628028,5006.478027855977,1856.6365628593373,498,1790,0,0,0
3,6787.0,6433.952123859897,4174.625173899023,440,8873,0,0,0
4,6046.741313570179,5608.129604720976,3583.875155073014,492,549,0,0,0
5,8769.143809390254,5974.737501543947,2727.0607323884733,462,5043,257,16,0
6,6333.702080518939,5889.237192818429,3914.1214067888454,460,2198,0,0,0
7,8010.552115384489,3572.9034811193123,1083.3882199526074,490,977,54,1,0
8,6409.7590056611225,5582.2128539914265,3938.2274428856895,496,1429,0,0,0
9,5774.616498222342,5369.956606159918,3181.7966938249265,429,92,0,0,0
10,6813.969977967907,6581.969118536217,4516.6027074930835,456,8870,0,0,0
11,6450.652869599755,6165.710517995176,4242.692979456369,495,5620,0,0,0
12,6677.710872306139,5745.432957305107,4024.7027953829124,481,3766,0,0,0
13,6105.164532906376,5586.737511575222,3760.410558719389,496,764,0,0,0
14,7080.200158906169,5737.226697425172,3783.109585188251,477,1216,4,0,0
15,6824.120703502558,6226.213719949126,4182.9044718581845,480,4158,0,0,0
16,6623.0,6192.1195071563125,4284.979582031992,487,3817,0,0,0
17,6665.974566468678,6190.737819463946,4094.222725384826,480,5216,0,0,0
18,6589.425854344852,6263.368659623433,4306.228878699682,453,5385,0,0,0
19,9616.822450874839,7751.694317993303,4131.024300026926,447,2989,186,35,3
20,6742.738015554845,6102.47518759314,4029.579625865004,458,2775,0,0,0
21,6548.1547120663745,6401.19806733483,4388.551418587007,476,6777,0,0,0
22,6134.7375056464225,5311.591712305322,3605.0928467132358,485,451,0,0,0
23,6581.363885680027,5942.737501034513,3629.809637481374,494,3832,0,0,0
24,6065.950679630041,5961.698466427624,3854.3068549753775,488,672,0,0,0
25,8117.184059910753,5269.713832550362,2646.4390347028907,462,5069,125,4,0
26,5940.902470427565,5673.950013694353,3567.976051899609,452,418,0,0,0
27,6138.212815423496,5538.4758214931935,3608.340320428606,487,530,0,0,0
28,6297.95004609786,5591.889082078356,3849.869158788744,473,1363,0,0,0
29,6087.0,5742.7377813840285,3794.6141629137355,494,1169,0,0,0
30,6000.386216463987,4925.436780582997,3151.5804279362014,485,69,0,0,0
31,6838.213769851252,6397.953540831804,3902.5698111135266,480,3764,0,0,0
32,6989.219431304489,6273.958394580055,4298.918385404978,463,4201,0,0,0
33,6018.220352211501,5150.738076094538,3349.972478741971,486,105,0,0,0
34,11405.708169150603,5357.969773170538,1549.519721524273,486,11406,348,174,97
35,6417.993389198091,6138.487363307737,4225.767763159106,463,3871,0,0,0
36,6358.475364049897,5581.266839530785,3328.732741411142,495,1326,0,0,0
37,6587.0,5922.150011635199,4023.525638928185,496,3521,0,0,0
38,6191.0,5247.0,3032.9834334321768,485,153,0,0,0
39,5478.800703749061,4484.980679534841,2839.196817896721,452,17,0,0,0
40,6351.0,5878.475007178262,3863.949881749995,472,1654,0,0,0
41,6502.741713419557,5746.475388688967,3792.9242409394524,444,1761,0,0,0
42,6538.7375915767625,5895.9163504699245,3849.7569659986098,468,2620,0,0,0
43,6218.544500377029,5811.0,3976.914118656585,486,1642,0,0,0
44,6799.0,6146.738419733942,4149.828234886498,497,2957,0,0,0
45,6798.216311175376,5887.0,4046.7940253437923,462,2503,0,0,0
46,6740.457827701466,6067.0,3784.425307746784,486,2103,0,0,0
47,6714.212544946,6078.478551696986,4290.261022326132,498,8724,0,0,0
48,9300.130575757928,5161.68769859802,1554.6878758903592,428,3825,412,89,3
49,7066.480011163279,6270.739899928682,4495.800464510025,451,15263,1,0,0
50,6266.212922334671,6266.212922334671,3979.1365285141915,499,2611,0,0,0
51,6379.0,5791.0,3597.5716995441453,466,1448,0,0,0
52,5833.449140273966,5024.67617358407,3203.92305644649,428,231,0,0,0
53,6229.705236168578,5823.0,3848.923929298452,441,962,0,0,0
54,6219.684492230648,5651.857087800279,3612.836609169934,494,397,0,0,0
55,6793.168363496661,5940.380128973164,3978.1916501550404,481,1906,0,0,0
56,6647.0,6487.0,4237.172552829694,452,2494,0,0,0
57,6569.693089971319,5990.220148107968,4263.286286789657,491,4422,0,0,0
58,6241.6879904856905,6059.853747322224,3765.140686619223,465,1217,0,0,0
59,8812.545175964478,4418.475024051964,1682.1713785583765,489,3873,73,19,0
60,8082.475355504081,6839.0,4844.09707258421,488,14613,4,1,0
61,5936.375004197471,5519.0,3711.474384093731,444,876,0,0,0
62,6309.309203710407,5735.0,4011.985844802526,495,1258,0,0,0
63,8652.904189915076,5889.69199330546,1816.9628926432902,483,4886,89,6,0
64,6722.4754220005125,6570.737501342781,4524.201819954267,473,10316,0,0,0
65,7031.484426489718,5859.110588582,3944.5061143256166,473,2654,1,0,0
66,8763.813847414272,5432.716478985234,2921.289524673839,455,4256,149,10,0
67,8878.412906912621,6331.325308762491,3640.267224651124,467,8274,78,17,0
68,6667.0,6373.9500009594485,4134.496755904434,433,5275,0,0,0
69,6349.1780990269035,5761.7074221482035,3576.821309579497,493,348,0,0,0
70,7242.737788033672,6373.705043375492,4419.249024905515,483,9923,1,0,0
71,6478.485933136195,6275.0,4248.823557209764,491,3402,0,0,0
72,6584.900023789145,6088.637524976395,4139.888262713872,492,4872,0,0,0
73,5583.0,5325.690544870682,2996.3134165216693,407,86,0,0,0
74,6238.498403298883,6018.21303954348,3838.543264319583,468,1831,0,0,0
75,6859.0,6481.953710456379,3911.2689567960983,468,2922,0,0,0
76,5918.214728290215,5199.0,3333.0659313214533,493,271,0,0,0
77,7831.476808271487,7809.032180929353,4427.850712403926,496,20881,66,0,0
78,6602.737500262447,6080.920114416443,4082.79449631162,471,2211,0,0,0
79,6199.8813116028905,5867.0,3368.848953226976,489,475,0,0,0
80,5842.802505105734,5842.802505105734,3698.8996647792596,499,401,0,0,0
81,6548.947558562279,6107.0,3830.922044290824,488,1660,0,0,0
82,8076.924314942211,5222.737503302284,3298.2980098585103,485,2304,15,1,0
83,5196.923516167561,4957.443153090775,3018.0610939160724,496,6,0,0,0
84,6222.485252533341,5583.0,3752.896737020401,495,777,0,0,0
85,8684.386304483749,7494.8177542605845,4311.942348082468,475,14803,99,3,0
86,12303.326210399158,7055.325580863096,3932.09511365973,492,25185,1588,725,284
87,5828.3905808697455,5809.175768677145,3689.8416845212623,496,318,0,0,0
88,6286.477136945352,6208.907357202843,4014.049143909104,495,2119,0,0,0
89,7763.265140288638,5052.114629713818,1101.2830225659577,484,2816,35,0,0
90,9788.0,5718.475461096503,2045.1496494231033,469,4760,351,96,14
91,6085.9708955890965,5506.478376025334,3516.7737463825915,489,363,0,0,0
92,6653.201735179988,6538.493630116107,4187.119775489047,490,2313,0,0,0
93,5786.740201068111,5441.970429519657,3545.2176450037305,496,235,0,0,0
94,6802.088896755027,6584.643603447825,1877.3912190365315,498,3663,0,0,0
95,5995.0,5360.76634678524,3483.4190119210216,492,249,0,0,0
96,5939.0,5500.914883242454,3612.172509640568,491,165,0,0,0
97,7477.425004569814,6615.0,4344.681749840608,493,12597,8,0,0
98,5727.0,5157.688111773692,3347.508637691814,496,168,0,0,0
99,6613.430838122964,5789.953189800493,3690.104426703665,497,1933,0,0,0
100,6719.0,6102.213007869199,3919.4992692348883,479,2109,0,0,0
